meat_type,date,price
"Horse meat, kg",2019-10-16,8571.2
"Goat meat, kg",2019-10-16,7245.7
"Mutton, kg",2019-10-23,9086.4
"Beef, kg",2019-10-23,10975.6
"Horse meat, kg",2019-10-23,8364.9
"Goat meat, kg",2019-10-23,7245.7
"Mutton, kg",2019-10-30,8333.9
"Beef, kg",2019-10-30,10197.7
"Horse meat, kg",2019-10-30,8364.9
"Goat meat, kg",2019-10-30,7245.7
"Mutton, kg",2019-11-06,8312.9
"Beef, kg",2019-11-06,10135.3
"Horse meat, kg",2019-11-06,8364.9
"Goat meat, kg",2019-11-06,6500.0
"Mutton, kg",2019-11-13,7694.0
"Beef, kg",2019-11-13,10274.5
"Horse meat, kg",2019-11-13,8364.9
"Goat meat, kg",2019-11-13,6000.0
"Mutton, kg",2019-11-20,7507.9
"Beef, kg",2019-11-20,10084.0
"Horse meat, kg",2019-11-20,8364.9
"Goat meat, kg",2019-11-20,6000.0
"Mutton, kg",2019-11-28,7507.9
"Beef, kg",2019-11-28,10084.0
"Horse meat, kg",2019-11-28,8364.9
"Goat meat, kg",2019-11-28,6000.0
"Mutton, kg",2019-12-04,7423.8
"Beef, kg",2019-12-04,9527.3
"Horse meat, kg",2019-12-04,8231.0
"Goat meat, kg",2019-12-04,6000.0
"Mutton, kg",2019-12-11,7423.8
"Beef, kg",2019-12-11,9487.2
"Horse meat, kg",2019-12-11,8231.0
"Goat meat, kg",2019-12-11,6000.0
"Mutton, kg",2019-12-18,7475.0
"Beef, kg",2019-12-18,9457.0
"Horse meat, kg",2019-12-18,8231.0
"Goat meat, kg",2019-12-18,6387.0
"Mutton, kg",2019-12-25,7622.0
"Beef, kg",2019-12-25,9748.0
"Horse meat, kg",2019-12-25,7969.0
"Goat meat, kg",2019-12-25,6493.0
"Mutton, kg",2020-01-02,8238.0
"Beef, kg",2020-01-02,10547.0
"Horse meat, kg",2020-01-02,8239.0
"Goat meat, kg",2020-01-02,6588.0
"Mutton, kg",2020-01-08,8082.0
"Beef, kg",2020-01-08,10017.0
"Horse meat, kg",2020-01-08,8239.0
"Goat meat, kg",2020-01-08,7246.0
"Mutton, kg",2020-01-15,8300.0
"Beef, kg",2020-01-15,10028.0
"Horse meat, kg",2020-01-15,8107.0
"Goat meat, kg",2020-01-15,6982.0
"Mutton, kg",2020-01-22,8687.0
"Beef, kg",2020-01-22,10652.0
"Horse meat, kg",2020-01-22,8107.0
"Goat meat, kg",2020-01-22,7141.0
"Mutton, kg",2020-01-29,9745.0
"Beef, kg",2020-01-29,11437.0
"Horse meat, kg",2020-01-29,9122.0
"Goat meat, kg",2020-01-29,8149.0
"Mutton, kg",2020-02-05,9589.0
"Beef, kg",2020-02-05,11452.0
"Horse meat, kg",2020-02-05,8993.0
"Goat meat, kg",2020-02-05,8149.0
"Mutton, kg",2020-02-12,9633.0
"Beef, kg",2020-02-12,11399.0
"Horse meat, kg",2020-02-12,9109.0
"Goat meat, kg",2020-02-12,8149.0
"Mutton, kg",2020-02-19,9575.0
"Beef, kg",2020-02-19,11399.0
"Horse meat, kg",2020-02-19,9109.0
"Goat meat, kg",2020-02-19,7589.0
"Mutton, kg",2020-02-27,9575.0
"Beef, kg",2020-02-27,11399.0
"Horse meat, kg",2020-02-27,9109.0
"Goat meat, kg",2020-02-27,7589.0
"Mutton, kg",2020-03-04,9632.0
"Beef, kg",2020-03-04,11385.0
"Horse meat, kg",2020-03-04,9109.0
"Goat meat, kg",2020-03-04,7823.0
"Mutton, kg",2020-03-11,9653.0
"Beef, kg",2020-03-11,11546.0
"Horse meat, kg",2020-03-11,9233.0
"Goat meat, kg",2020-03-11,7984.0
"Mutton, kg",2020-03-18,10080.0
"Beef, kg",2020-03-18,12106.0
"Horse meat, kg",2020-03-18,9366.0
"Goat meat, kg",2020-03-18,7984.0
"Mutton, kg",2020-03-25,9694.0
"Beef, kg",2020-03-25,11616.0
"Horse meat, kg",2020-03-25,9233.0
"Goat meat, kg",2020-03-25,7823.0
"Mutton, kg",2020-04-01,9694.0
"Beef, kg",2020-04-01,11616.0
"Horse meat, kg",2020-04-01,9109.0
"Goat meat, kg",2020-04-01,7730.0
"Mutton, kg",2020-04-08,9715.0
"Beef, kg",2020-04-08,11784.0
"Horse meat, kg",2020-04-08,8732.0
"Goat meat, kg",2020-04-08,7784.0
"Mutton, kg",2020-04-15,9748.0
"Beef, kg",2020-04-15,11932.0
"Horse meat, kg",2020-04-15,8858.0
"Goat meat, kg",2020-04-15,7784.0
"Mutton, kg",2020-04-22,10025.0
"Beef, kg",2020-04-22,11793.0
"Horse meat, kg",2020-04-22,9384.0
"Goat meat, kg",2020-04-22,8099.0
"Mutton, kg",2020-04-29,10002.0
"Beef, kg",2020-04-29,11553.0
"Horse meat, kg",2020-04-29,9290.0
"Goat meat, kg",2020-04-29,7389.0
"Mutton, kg",2020-05-06,10091.0
"Beef, kg",2020-05-06,11847.0
"Horse meat, kg",2020-05-06,9129.0
"Goat meat, kg",2020-05-06,7500.0
"Mutton, kg",2020-05-13,10122.0
"Beef, kg",2020-05-13,11914.0
"Horse meat, kg",2020-05-13,9721.0
"Goat meat, kg",2020-05-13,8099.0
"Mutton, kg",2020-05-20,10146.0
"Beef, kg",2020-05-20,11825.0
"Horse meat, kg",2020-05-20,9414.0
"Goat meat, kg",2020-05-20,8000.0
"Mutton, kg",2020-05-27,10141.0
"Beef, kg",2020-05-27,12175.0
"Horse meat, kg",2020-05-27,9695.0
"Goat meat, kg",2020-05-27,8649.0
"Mutton, kg",2020-06-03,10229.0
"Beef, kg",2020-06-03,12380.0
"Horse meat, kg",2020-06-03,9695.0
"Goat meat, kg",2020-06-03,8649.0
"Mutton, kg",2020-06-10,10393.0
"Beef, kg",2020-06-10,12640.0
"Horse meat, kg",2020-06-10,9835.0
"Goat meat, kg",2020-06-10,8649.0
"Mutton, kg",2020-06-17,10417.0
"Beef, kg",2020-06-17,12751.0
"Horse meat, kg",2020-06-17,9558.0
"Goat meat, kg",2020-06-17,8300.0
"Mutton, kg",2020-06-25,10504.0
"Beef, kg",2020-06-25,12794.0
"Horse meat, kg",2020-06-25,9558.0
"Goat meat, kg",2020-06-25,8300.0
"Mutton, kg",2020-07-01,10722.0
"Beef, kg",2020-07-01,12789.0
"Horse meat, kg",2020-07-01,9444.0
"Goat meat, kg",2020-07-01,8399.0
"Mutton, kg",2020-07-08,10702.0
"Beef, kg",2020-07-08,12789.0
"Horse meat, kg",2020-07-08,9608.0
"Goat meat, kg",2020-07-08,8349.0
"Mutton, kg",2020-07-16,10643.0
"Beef, kg",2020-07-16,12796.0
"Horse meat, kg",2020-07-16,9610.0
"Goat meat, kg",2020-07-16,8500.0
"Mutton, kg",2020-07-22,10586.0
"Beef, kg",2020-07-22,12709.0
"Horse meat, kg",2020-07-22,9254.0
"Goat meat, kg",2020-07-22,8349.0
"Mutton, kg",2020-07-29,10586.0
"Beef, kg",2020-07-29,12709.0
"Horse meat, kg",2020-07-29,9205.0
"Goat meat, kg",2020-07-29,8200.0
"Mutton, kg",2020-08-05,10394.0
"Beef, kg",2020-08-05,12565.0
"Horse meat, kg",2020-08-05,9242.0
"Goat meat, kg",2020-08-05,8250.0
